Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/1/2000,5.29,4.15,3.1,2.75,57.17,4.43,18.46,3.26,0,18.18,7.09,5.59,2.28,28.83,7.89,2.36,1.91,7.75,7.77,4.06,11.37,38.96,19.44,5.6,3.22,9.82,2.56,1.68,2.99,5.5,28.94,3.63,78.62,9.34,1.52,18.09,5.66,6.23,18.59,5.68,7.06,2.3,3.29,19.23,3.89,2.17,12.01,11.73,3.73,11.45,1.25
1/1/2001,5.58,4.51,3.71,2.84,62.34,4.92,19.03,3.89,0,18.61,7.52,5.3,2.34,30.25,8.52,2.54,2.18,8.35,7.98,4.21,11.66,42.15,20.11,5.62,3.82,11.37,2.74,1.8,3.39,5.61,29.73,4.3,80.38,10,1.55,18.75,5.99,6.42,19.25,5.83,9.56,2.22,3.39,16.82,4.02,2.33,12.96,12.61,4.09,12.17,1.35
1/1/2002,6.41,5.31,4.35,3,71.24,7.17,20.78,4.04,0,20.27,8.24,5.66,2.54,34.76,9.46,3.71,2.29,7.18,9.23,4.32,12.31,45.22,21.95,6.41,4.16,12.69,2.75,2.22,3.67,5.4,32.09,4.49,87.98,11.13,1.67,20.01,6.48,7.67,20.98,5.86,10.12,2.31,3.63,20.42,4.73,2.47,13.79,13.55,4.54,14.87,1.3
1/1/2003,6.28,5.83,5.55,3.3,95.21,8.92,22.49,4.36,0,21.99,8.89,5.65,2.6,46.69,11.85,4.28,2.47,7.11,9.77,4.42,12.95,48.48,22.48,7.15,4.17,13.86,2.88,2.14,3.6,5.59,33.61,4.6,91.63,12.14,1.6,21.05,6.75,7.46,24.33,6.19,10.99,2.57,3.5,14.62,5.06,2.53,13.53,14.62,4.26,14.8,1.11
1/1/2004,6.36,5.69,6.77,3.74,105.52,9.96,22.93,4.21,0,26.79,8.66,5.75,2.38,48.73,14.7,4.86,4.57,8.12,10.18,4.64,15.24,57.16,25.02,6.67,4.38,16.22,3.05,1.95,3.85,6.53,40.64,5.41,97.92,14.1,1.67,21.84,7.01,10.5,26,6.48,11.88,2.61,3.58,23.33,4.96,2.54,15.39,15.77,4.63,17.73,0.91
1/1/2005,6.26,5.77,8.04,4.3,107.37,12.74,23.21,4.36,0,28.26,9.25,5.84,2.39,51.28,14.95,4.93,5.12,8.56,11.5,4.63,15.23,60.01,24.36,7.27,4.33,16.18,3.95,1.74,4.08,6.86,42.31,5.87,102.56,15.77,1.68,23.18,7.47,10.46,27.57,6.83,13.37,2.57,3.57,18.15,5.27,2.79,16.9,17.02,5.1,18.76,0.87
1/1/2006,6.37,6.26,8.41,4.53,109.42,13.04,24.04,4.18,0,29.31,10.49,5.79,2.46,53.65,17.31,6.6,5.73,9.78,11.74,5,16.4,63.8,27.3,7.43,4.87,17.67,4.35,2.01,4.05,7.43,50.2,6.32,105.31,17.75,1.77,24.71,8.14,11.01,32.12,6.96,13.74,3.15,3.82,24.5,5.93,2.98,17.61,18.33,5.41,19.87,0.98
1/1/2007,7.06,6.55,9.55,4.51,114.7,14.91,23.84,5.39,0,37.43,10.36,6.24,2.83,54.54,19.18,6.73,5.89,11.65,14.02,5.33,20.91,68.45,29.3,8.87,5.86,18.72,4.53,2.33,4.14,7.69,51.38,7.32,110.08,19.25,1.79,26.07,8.67,11.2,37.08,8.38,14.98,3.23,4.14,24.26,5.93,3.1,19.4,21.06,5.63,21.46,1.21
1/1/2008,8.47,6.49,10.52,4.35,121.93,15.88,27.55,5.72,0,44.08,12.02,6.3,3.38,58.44,19.92,7.24,5.84,12.21,16.39,5.3,23.12,71.89,30.05,9.54,6.33,19.74,4.92,2.72,4.25,7.91,52.79,7.76,114.24,19.61,1.95,27.31,9.13,11.6,40.1,8.93,15.21,3.41,4.37,33.59,5.91,3.37,21.29,23.52,6.37,22.11,1.34
1/1/2009,8.16,6.59,12.32,4.14,134.76,17.2,28.39,5.98,0,39.81,13.46,6.88,3.5,56.96,23.71,6.35,5.86,13.36,17.5,5.3,23.47,74.6,31.69,10.52,6.19,19.24,4.47,2.52,4.44,8.41,56.9,8,122.65,19.91,1.89,29.09,9.86,12.68,41.92,9.18,15.31,3.63,4.85,30.44,6.27,3.43,23.51,24.6,6.5,20.91,1.32
1/1/2010,8.79,6.42,13.96,4.25,148.93,16.71,30.36,5.52,0,41.32,13.79,7.7,3.87,61.36,23.63,7.4,6.51,14.39,17.45,6.03,24.47,73.94,32.15,11.57,6.49,20.42,4.16,2.44,4.44,8.35,60.97,8.74,129.53,18.85,2.2,30,9.96,13.51,44.74,9.5,15.77,3.48,5.84,42.03,6.48,3.49,25.05,27.52,7.14,22.32,1.51
1/1/2011,9.07,6.42,14.16,3.75,149.67,16.34,30.52,5.81,0,43.47,13.4,7.91,3.93,64.8,22.14,7.57,6.89,14.75,18.45,5.9,25.25,79.9,30.98,12.9,6.77,20.68,4.03,2.35,4.2,8.45,64,8.12,134.93,18.56,2.06,32.23,10.25,14.31,45.27,9.17,15.34,3.54,5.9,38.53,7.21,3.49,26.48,28.15,7.41,22.88,1.36
1/1/2012,8.72,5.91,14.51,3.66,153.53,16.07,31.97,5.8,0,38.17,13.4,8.4,3.95,64.3,22.51,6.17,6.86,15.1,18.73,5.61,25.81,70.61,30.82,13.23,7.19,20.39,4,2.07,3.9,8.03,64.85,7.55,142.51,18.29,2.08,33.6,9.98,13.83,46.2,9.21,14.85,3.61,6.17,45.63,7.07,3.39,27.79,29.09,7.31,23,1.32
1/1/2013,9.09,6.22,14.19,3.95,152.19,16.38,32.36,5.75,0,37.9,13.29,8.32,3.65,63.66,22.56,6.68,6.83,14.98,18.58,5.37,26.07,70.42,30.38,13.67,7.11,19.31,3.52,1.85,3.61,8.76,64.26,7.23,142.86,19.05,1.83,33.15,9.51,13.6,47.02,9.57,14.21,3.43,6.19,39.62,7.05,3.33,28.02,30.47,7.36,23.19,1.02
1/1/2014,8.91,6.05,14.32,4.53,156.81,16.35,33.23,5.09,0,36.35,13.38,8.43,3.61,65.83,21.13,6.34,6.74,14.83,19,5.47,26.38,71.82,31.53,15.82,7.22,19.04,3.4,1.91,3.52,8.22,66.09,6.88,143.41,17.85,1.89,33.66,9.05,14.58,47.84,9.39,14.58,3.24,6.05,41.86,7.33,3.29,27.74,31.6,7.4,22.37,0.93
1/1/2015,9.13,5.73,14.24,4.99,151.72,16.92,35.2,4.96,0,33.37,13.25,8.76,3.69,64.21,22.57,6.22,6.82,13.78,17.62,5.01,26.59,72.75,33.25,15.86,7.47,19.4,3.21,1.81,3.35,8.21,67.17,6.74,143.88,17.51,2.06,33.11,8.92,13.06,47.92,9,14.74,3.35,7.12,48.04,7.48,3.39,28.23,32.23,8.16,22.09,0.83
1/1/2016,8.66,5.95,14.4,6.93,151.82,16.77,36.75,5.05,0,33.47,13.13,9.22,3.56,65.79,22.65,5.96,7.78,14.45,17.9,4.85,27.87,77.69,33.74,16.33,7.28,19.1,3.05,1.95,3.22,7.87,66.73,7.09,143.99,16.92,2.36,33.16,8.7,13.36,47.1,9.05,15.89,3.37,6.07,49.36,7.01,3.49,28.63,33.05,8.24,23.05,0.78
1/1/2017,8.79,5.92,14.29,6.97,147.21,16.98,38.76,5.06,0,28.83,13.05,9.66,3.37,61.82,20.84,6.15,7.54,13.55,18.03,4.75,28.03,78.18,33.67,16.36,7.47,18.42,2.8,2.01,3.25,7.74,65.87,7.06,145.2,16.31,2.89,33.49,8.46,13.81,47.52,8.93,15.32,3.53,6.13,50.96,7.46,3.5,27.83,33.43,8.57,23.25,0.77
1/1/2018,9.86,5.89,13.7,6.83,148.03,17.85,40.29,5.13,0,27.59,13.31,9.87,3.44,67.5,22.03,6.27,6.14,14.62,18.16,4.76,28,78.62,33.56,16.6,7.25,17.85,2.74,2.06,3.44,7.74,65.57,7.27,147.96,15.35,3.04,31.62,8.91,14.29,49.06,9.09,14.57,3.74,6.29,51.53,7.36,3.58,29.07,33.93,8.61,22.81,0.83
1/1/2019,10.73,5.91,13.32,6.74,149.88,18.68,41.79,5.21,0,26.77,13.61,10.11,3.53,72.71,23.15,6.4,5.76,15.59,18.37,4.8,28.22,79.65,33.63,16.9,7.11,17.5,2.71,2.1,3.62,7.79,65.64,7.5,151.17,14.67,3.19,30.22,9.34,14.31,50.74,9.29,14.24,3.94,6.56,52.36,7.35,3.67,30.29,34.69,8.68,22.57,0.89
1/1/2020,11.53,5.94,13.09,6.7,152.4,19.5,43.27,5.3,0,26.26,13.94,10.37,3.62,77.52,24.19,6.54,5.47,16.48,18.63,4.86,28.56,81.02,33.83,17.23,7.02,17.29,2.7,2.15,3.8,7.89,66.04,7.73,154.7,14.18,3.32,29.18,9.74,14.42,52.44,9.52,14.08,4.12,6.83,53.4,7.41,3.77,31.49,35.6,8.76,22.46,0.94
